player_id,player_name,year,team
"54113","Benedicto","1930","Brazil"
"69385","Benvenutto","1930","Brazil"
"69380","Brilhante","1930","Brazil"
"52919","Carvalho Leite","1930","Brazil"
"69386","Doca","1930","Brazil"
"213736","Fausto","1930","Brazil"
"49982","Fernando Giudicelli","1930","Brazil"
"69388","Fortes","1930","Brazil"
"49521","Hermogenes","1930","Brazil"
"49890","Italia","1930","Brazil"
"182216","Ivan Mariz","1930","Brazil"
"54443","Joel","1930","Brazil"
"69390","Manoelzinho","1930","Brazil"
"59994","Moderato","1930","Brazil"
"63824","Nilo","1930","Brazil"
"48009","Oscarino","1930","Brazil"
"69387","Pamplona","1930","Brazil"
"56861","Poly","1930","Brazil"
"63823","Preguinho","1930","Brazil"
"63822","Russinho","1930","Brazil"
"56107","Teophilo","1930","Brazil"
"63820","Velloso","1930","Brazil"
"63821","Ze Luis","1930","Brazil"
"69374","Arturo Coddou","1930","Chile"
"59059","Arturo Torres","1930","Chile"
"57675","Carlos Schneberger","1930","Chile"
"59596","Carlos Vidal","1930","Chile"
"59062","Casimiro Torres","1930","Chile"
"170944","Cesar Espinoza","1930","Chile"
"59629","Eberardo Villalobos","1930","Chile"
"47536","Ernesto Chaparro","1930","Chile"
"45761","Guillermo Arellano","1930","Chile"
"69373","Guillermo Riveros","1930","Chile"
"57265","Guillermo Saavedra","1930","Chile"
"58531","Guillermo Subiabre","1930","Chile"
"69375","Horacio Munoz","1930","Chile"
"69371","Humberto Elgueta","1930","Chile"
"45071","Juan Aguilera","1930","Chile"
"47995","Roberto Cortes","1930","Chile"
"55487","Tomas Ojeda","1930","Chile"
"56356","Ulises Poirier","1930","Chile"
"54493","Victor Morales","1930","Chile"
"58899","Alex Thepot","1930","France"
"59637","Alex Villaplane","1930","France"
"53765","Andre Maschinot","1930","France"
"69366","Andre Tassin","1930","France"
"47531","Augustin Chantrel","1930","France"
"48405","Celestin Delmer","1930","France"
"48382","Edmond Delfour","1930","France"
"59523","Emile Veinante","1930","France"
"53011","Ernest Liberati","1930","France"
"53852","Etienne Mattler","1930","France"
"69368","Jean Laurent","1930","France"
"29657","Lucien Laurent","1930","France"
"47273","Marcel Capelle","1930","France"
"52726","Marcel Langiller","1930","France"
"56299","Marcel Pinel","1930","France"
"69367","Nouma Andoire","1930","France"
"57483","Alfredo Sanchez","1930","Mexico"
"54039","Dionisio Mejia","1930","Mexico"
"45536","Efrain Amezcua","1930","Mexico"
"55525","Felipe Olivares","1930","Mexico"
"57129","Felipe Rosas","1930","Mexico"
"50383","Francisco Garza Gutierrez","1930","Mexico"
"53170","Hilario Lopez","1930","Mexico"
"58282","Isidoro Sota","1930","Mexico"
"69369","Jesus Castro","1930","Mexico"
"57207","Jose Ruiz","1930","Mexico"
"47331","Juan Carreno","1930","Mexico"
"182417","Luis Perez","1930","Mexico"
"57131","Manuel Rosas","1930","Mexico"
"46750","Oscar Bonfiglio","1930","Mexico"
"50387","Rafael Garza","1930","Mexico"
"57027","Raimundo Rodriguez","1930","Mexico"
"49834","Roberto Gayon","1930","Mexico"
"69435","Amadeo Ortega","1930","Paraguay"
"50080","Aurelio Gonzalez","1930","Paraguay"
"69433","Bernabe Rivera","1930","Paraguay"
"69436","Cayetano Carreras Sagueir","1930","Paraguay"
"47150","Delfin Benitez Caceres","1930","Paraguay"
"69432","Diego Florentin","1930","Paraguay"
"48669","Diogenes Dominguez","1930","Paraguay"
"48525","Eusebio Diaz","1930","Paraguay"
"69431","Eustaquio Chamorro","1930","Paraguay"
"45077","Francisco Aguirre","1930","Paraguay"
"57096","Gerardo Romero","1930","Paraguay"
"69434","Jacinto Villalba","1930","Paraguay"
"54282","Jose Leon Miracca","1930","Paraguay"
"55057","Lino Nessi","1930","Paraguay"
"56077","Luis Vargas Pena","1930","Paraguay"
"48426","Modesto Denis","1930","Paraguay"
"198016","Pedro Benitez","1930","Paraguay"
"55547","Quiterio Olmedo","1930","Paraguay"
"49158","Romildo Etcheverry","1930","Paraguay"
"49489","Salvador Flores","1930","Paraguay"
"46450","Santiago Benitez","1930","Paraguay"
"49757","Tranquilino Garcete","1930","Paraguay"
"48421","Alberto Denegri","1930","Peru"
"58266","Alberto Soria","1930","Peru"
"59634","Alejandro Villanueva","1930","Peru"
"53609","Antonio Maquilon","1930","Peru"
"69405","Arturo Fernandez","1930","Peru"
"69407","Carlos Cilloniz","1930","Peru"
"55080","Demetrio Neyra","1930","Peru"
"49763","Domingo Garcia","1930","Peru"
"45885","Eduardo Astengo","1930","Peru"
"182326","Jorge Gongora","1930","Peru"
"55932","Jorge Pardon","1930","Peru"
"182327","Jorge Sarmiento","1930","Peru"
"49485","Jose Flores","1930","Peru"
"52809","Jose Maria Lavalle","1930","Peru"
"182328","Juan Alfonso Valle","1930","Peru"
"59343","Juan Valdivieso","1930","Peru"
"69402","Julio Lores","1930","Peru"
